Date,Wsp_44m,Wsp_44m_std,ActPow,ActPow_std
2018-07-18 19:40:00,6.59843,0.427987,0.0,0.0
2018-07-18 19:50:00,6.86057,0.706387,0.0,0.0
2018-07-18 20:00:00,6.29809,0.878203,0.0,0.0
2018-07-18 20:10:00,6.41796,0.739289,0.0,0.0
2018-07-18 20:20:00,5.97744,0.752129,0.0,0.0
2018-07-18 20:30:00,6.1983,0.845229,0.0,0.0
2018-07-18 20:40:00,6.48003,0.899984,0.0,0.0
2018-07-18 20:50:00,6.9131,1.21719,0.0,0.0
2018-07-18 21:00:00,7.637,0.870795,0.0,0.0
2018-07-18 21:10:00,7.31095,1.15699,0.0,0.0
2018-07-18 21:20:00,7.37799999999999,0.88966,0.0,0.0
2018-07-18 21:30:00,7.40421,0.9872,0.0,0.0
2018-07-18 21:40:00,8.61803,1.09677999999999,0.0,0.0
2018-07-18 21:50:00,7.22728999999999,1.3365,0.0,0.0
2018-07-18 22:00:00,7.53755,1.16646,0.0,0.0
2018-07-18 22:10:00,7.59936,1.36127999999999,0.0,0.0
2018-07-18 22:20:00,7.23513,1.06061,0.0,0.0
2018-07-18 22:30:00,6.94453999999999,1.06346,0.0,0.0
2018-07-18 22:40:00,8.06355,1.18061,0.0,0.0
2018-07-18 22:50:00,8.78227,1.16831,0.0,0.0
2018-07-18 23:00:00,8.79221,1.06224,0.0,0.0
2018-07-18 23:10:00,8.96089,1.14903,0.0,0.0
2018-07-18 23:20:00,8.16418,1.13638,0.0,0.0
2018-07-18 23:30:00,8.67483,1.2437,0.0,0.0
2018-07-18 23:40:00,7.67559,0.922852,0.0,0.0
2018-07-18 23:50:00,8.57343,0.973487,0.0,0.0
2018-07-19 00:00:00,7.44876,0.938338999999999,0.0,0.0
2018-07-19 00:10:00,7.78318999999999,1.18084,0.0,0.0
2018-07-19 00:20:00,8.31888,1.11197,0.0,0.0
2018-07-19 00:30:00,8.45695,1.01993,0.0,0.0
2018-07-19 00:40:00,7.83115,0.923855999999999,0.0,0.0
2018-07-19 00:50:00,7.03407,1.29111,0.0,0.0
2018-07-19 01:00:00,7.26281,0.865533,0.0,0.0
2018-07-19 01:10:00,6.86455,0.884302,0.0,0.0
2018-07-19 01:20:00,6.01803,0.830117,0.0,0.0
2018-07-19 01:30:00,6.44325999999999,0.809101,0.0,0.0
2018-07-19 01:40:00,6.3614,0.801272,0.0,0.0
2018-07-19 01:50:00,6.3614,0.801272,0.0,0.0
2018-07-19 02:00:00,6.43027,0.875047999999999,0.0,0.0
2018-07-19 02:10:00,7.24191,0.693932,0.0,0.0
2018-07-19 02:20:00,6.81945,0.904029,0.0,0.0
2018-07-19 02:30:00,6.09064,0.964403,0.0,0.0
2018-07-19 02:40:00,6.27966,0.913639,0.0,0.0
2018-07-19 02:50:00,6.7426,0.837097,0.0,0.0
2018-07-19 03:00:00,7.33529,0.589708,0.0,0.0
2018-07-19 03:10:00,7.19935,0.867016,0.0,0.0
2018-07-19 03:20:00,6.93388999999999,0.692114999999999,0.0,0.0
2018-07-19 03:30:00,7.80953999999999,0.707243,0.0,0.0
2018-07-19 03:40:00,7.83813999999999,0.821873,0.0,0.0
2018-07-19 03:50:00,7.7761,0.740114,0.0,0.0
2018-07-19 04:00:00,7.57907,0.775497999999999,0.0,0.0
2018-07-19 04:10:00,7.6348,0.756592,0.0,0.0
